-44.6653,-58.0832,-57.6019,-56.9781,-56.7454,
1.52568,-0.0320022,-0.0886051,-0.0714337,0.0195119,
157.983,145.382,137.157,128.927,120.698,
-44.6653,-56.3747,-56.6262,-56.6735,-56.7454,
1.52568,0.0522419,0.0135189,0.00260892,0.0195119,
157.983,144.893,136.832,128.765,120.698,
-44.6653,-56.5455,-56.8304,-56.7577,-56.7454,
1.52568,0.07477,0.00451378,-0.0139056,0.0195119,
157.983,151.122,144.425,136.522,128.614,120.698,
-44.6653,-56.1156,-57.6782,-57.1993,-56.8172,-56.7454,
1.52568,0.509529,-0.0576867,-0.0588951,-0.0331622,0.0195119,
157.983,145.325,137.118,128.908,120.698,
-44.6653,-56.4288,-56.637,-56.673,-56.7454,
1.52568,0.0443343,0.0106372,0.00236301,0.0195119,
157.983,142.614,135.336,128.023,120.698,
-44.6653,-58.0508,-57.2265,-56.7932,-56.7454,
1.52568,-0.139868,-0.0858296,-0.0327029,0.0195119,
