-0.00050714,-0.0393457,0.147954,1.54115,
192.121,183.556,174.991,166.429,157.303,
-1.71264,-1.52081,-1.29064,-1.52701,-21.2827,
-0.00050714,-0.0344547,-0.00945822,0.0744823,1.54115,
192.121,183.268,174.416,165.568,157.303,
-1.71264,-1.63305,-1.58638,-1.84722,-21.2827,
-0.00050714,-0.0123027,0.00692864,0.0571868,1.54115,
184.446,176.781,169.107,161.751,157.044,157.303,
-1.28473,-0.693575,-0.965579,-3.09278,-11.3453,-21.2827,
-0.0886126,-0.0430441,0.136198,0.449115,1.48824,1.54115,
192.121,183.058,173.997,164.947,157.232,157.303,
-1.71264,-1.74509,-1.93449,-2.40496,-13.7503,-21.2827,
-0.00050714,0.00995373,0.0341329,0.0720304,1.53827,1.54115,
192.121,183.1,174.081,165.098,157.303,
-1.71264,-1.59587,-1.63911,-2.41763,-21.2827,
-0.00050714,-0.0147294,0.0349712,0.148595,1.54115,
192.121,183.148,174.174,165.26,157.303,
-1.71264,-1.38811,-1.15471,-2.1061,-21.2827,
-0.00050714,-0.0514393,0.019801,0.213214,1.54115,
192.121,183.184,174.248,165.326,157.303,
-1.71264,-1.47914,-1.25168,-1.72576,-21.2827,
-0.00050714,-0.0387629,0.000842764,0.11831,1.54115,
192.121,173.82,164.686,157.303,
-1.71264,-1.39298,-1.89695,-21.2827,
-0.00050714,0.00914196,0.111991,1.54115,
192.121,183.213,174.306,165.399,157.197,157.303,
-1.71264,-1.67812,-1.65234,-1.73841,-13.3977,-21.2827,
-0.00050714,-0.00531449,0.00145482,0.0198008,1.54264,1.54115,
192.121,183.138,174.154,165.22,157.303,
-1.71264,-1.45232,-1.29583,-2.164,-21.2827,
-0.00050714,-0.0403162,0.0226053,0.188257,1.54115,
192.121,174.559,165.789,157.303,
-1.71264,-1.50821,-1.93143,-21.2827,
-0.00050714,0.0112561,0.0937033,1.54115,
192.121,174.237,165.32,157.303,
-1.71264,-1.77281,-2.42551,-21.2827,
-0.00050714,0.0356365,0.117609,1.54115,
192.121,183.143,174.164,165.224,157.303,
-1.71264,-1.46093,-1.29026,-2.06209,-21.2827,
-0.00050714,-0.0395347,0.017543,0.170726,1.54115,
192.121,173.819,164.699,157.303,
-1.71264,-1.2471,-1.94067,-21.2827,
-0.00050714,0.0112982,0.155921,1.54115,
